date,value
2012-12-10,99.0282
2012-12-11,98.9238
2012-12-12,98.8643
2012-12-13,98.8608
2012-12-14,98.8094
2012-12-15,98.75982499999999
2012-12-16,98.71025
2012-12-17,98.660675
2012-12-18,98.6111
2012-12-19,98.5801
2012-12-20,98.6884
2012-12-21,99.0367
2012-12-22,99.05908
2012-12-23,99.08145999999999
2012-12-24,99.10384
2012-12-25,99.12622
2012-12-26,99.1486
2012-12-27,99.1853
2012-12-28,99.1205
2012-12-29,99.05166000000001
2012-12-30,98.98282
2012-12-31,98.91398000000001
2013-01-01,98.84514
2013-01-02,98.7763
2013-01-03,98.8831
2013-01-04,99.1861
2013-01-05,99.171675
2013-01-06,99.15725
2013-01-07,99.142825
2013-01-08,99.1284
2013-01-09,99.0742
2013-01-10,98.7107
2013-01-11,98.6
2013-01-12,98.592625
2013-01-13,98.58525
2013-01-14,98.57787499999999
2013-01-15,98.5705
2013-01-16,98.6347
2013-01-17,98.5722
2013-01-18,98.8909
2013-01-19,98.871325
2013-01-20,98.85175000000001
2013-01-21,98.832175
2013-01-22,98.8126
2013-01-23,98.8522
2013-01-24,98.9208
2013-01-25,99.1052
2013-01-26,99.0736
2013-01-27,99.042
2013-01-28,99.0104
2013-01-29,98.9788
2013-01-30,98.9258
2013-01-31,98.8594
2013-02-01,98.7576
2013-02-02,98.802875
2013-02-03,98.84815
2013-02-04,98.893425
2013-02-05,98.9387
2013-02-06,99.0899
2013-02-07,99.3701
2013-02-08,99.3883
2013-02-09,99.410475
2013-02-10,99.43265
2013-02-11,99.454825
2013-02-12,99.477
2013-02-13,99.4543
2013-02-14,99.5477
2013-02-15,99.6256
2013-02-16,99.6386
2013-02-17,99.6516
2013-02-18,99.66460000000001
2013-02-19,99.6776
2013-02-20,99.8128
2013-02-21,100.1986
2013-02-22,100.2649
2013-02-23,100.335925
2013-02-24,100.40695
2013-02-25,100.477975
2013-02-26,100.549
2013-02-27,100.3534
2013-02-28,100.4037
2013-03-01,100.7207
2013-03-02,100.69117499999999
2013-03-03,100.66165
2013-03-04,100.632125
2013-03-05,100.6026
2013-03-06,100.62725
2013-03-07,100.6519
2013-03-08,100.7261
2013-03-09,100.66550000000001
2013-03-10,100.6049
2013-03-11,100.54429999999999
2013-03-12,100.4837
2013-03-13,100.5746
2013-03-14,100.5953
2013-03-15,100.2658
2013-03-16,100.365125
2013-03-17,100.46445
2013-03-18,100.56377499999999
2013-03-19,100.6631
2013-03-20,100.548
2013-03-21,100.4791
2013-03-22,100.3575
2013-03-23,100.36137500000001
2013-03-24,100.36525
2013-03-25,100.369125
2013-03-26,100.373
2013-03-27,100.5943
2013-03-28,100.4109
2013-03-29,100.4484
2013-03-30,100.40675
2013-03-31,100.36510000000001
2013-04-01,100.32345000000001
2013-04-02,100.2818
2013-04-03,100.2481
2013-04-04,100.5592
2013-04-05,100.2799
2013-04-06,100.24369999999999
2013-04-07,100.2075
2013-04-08,100.1713
2013-04-09,100.1351
2013-04-10,100.1179
2013-04-11,99.8652
2013-04-12,99.9602
2013-04-13,99.961225
2013-04-14,99.96225
2013-04-15,99.963275
2013-04-16,99.9643
2013-04-17,100.2527
2013-04-18,100.2979
2013-04-19,100.3347
2013-04-20,100.378625
2013-04-21,100.42255
2013-04-22,100.466475
2013-04-23,100.5104
2013-04-24,100.5764
2013-04-25,100.1608
2013-04-26,100.02
2013-04-27,99.89025
2013-04-28,99.76050000000001
2013-04-29,99.63075
2013-04-30,99.501
