date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-03-20,,3,,,,3,
2017-03-21,,,,,,,
2017-03-22,,,,,,,
2017-03-23,,,,,,,
2017-03-24,,,,,,,
2017-03-25,,,,,,,
2017-03-26,,,,,,,
2017-03-27,,,,,,,
2017-03-28,,,,,,,
2017-03-29,,,,,,,
2017-03-30,,,,,,,
2017-03-31,,,,,,,
2017-04-01,,,,,,,
2017-04-02,,,,,,,
2017-04-03,,,,,,,
2017-04-04,,,,,,,
2017-04-05,,,,,,,
2017-04-06,,,,,,,
2017-04-07,,,,,,,
2017-04-08,,3,,,,4,
2017-04-09,,,,,,,
2017-04-10,,,,,,,
2017-04-11,,24,,,,26,
2017-04-12,,1,,,,2,
2017-04-13,,3,,,,5,
2017-04-14,,14,,,,15,
2017-04-15,,16,,,,17,
2017-04-16,,1,,,,2,
2017-04-17,,67,,,,63,
2017-04-18,,24,,,,25,
2017-04-19,,2,,,,3,
2017-04-20,,9,,,,8,
2017-04-21,,,,,,,
2017-04-22,,,,,,,
2017-04-23,,,,,,,
2017-04-24,,7,,,,6,
2017-04-25,,7,,,,7,
2017-04-26,,9,,,,11,
2017-04-27,,,,,,,
2017-04-28,,,,,,,
2017-04-29,,,,,,,
2017-04-30,,,,,,,
2017-05-01,,,,,,,
2017-05-02,,6,,,,6,
2017-05-03,,6,,,,7,
2017-05-04,,4,,,,3,
2017-05-05,,2,,,,4,
2017-05-06,,,,,,,
2017-05-07,,,,,,,
2017-05-08,,,,,,,
2017-05-09,,,,,,,
2017-05-10,,1,,,,2,
2017-05-11,,3,,,,5,
2017-05-12,,2,,,,4,
2017-05-13,,10,,,,9,
2017-05-14,,6,,,,7,
2017-05-15,,2,,,,4,
2017-05-16,,3,,,,3,
2017-05-17,,5,,,,5,
2017-05-18,,3,,,,5,
2017-05-19,,3,,,,5,
2017-05-20,,8,,,,8,
2017-05-21,,,,,,,
2017-05-22,,,,,,,
2017-05-23,,,,,,,
2017-05-24,,,,,,,
2017-05-25,,2,,,,3,
2017-05-26,,2,,,,4,
2017-05-27,,6,,,,7,
2017-05-28,,4,,,,2,
2017-05-29,,4,,,,8,
2017-05-30,,7,,,,9,
2017-05-31,,,,,,,
2017-06-01,,,,,,,
2017-06-02,,4,,,,4,
2017-06-03,,3,,,,4,
2017-06-04,,2,,,,4,
2017-06-05,,4,,,,6,
2017-06-06,,2,,,,3,
2017-06-07,,3,,,,5,
2017-06-08,,5,,,,9,
2017-06-09,,6,,,,7,
2017-06-10,,10,,,,10,
2017-06-11,,2,,,,3,
2017-06-12,,2,,,,3,
2017-06-13,,,,,,,
2017-06-14,,,,,,,
2017-06-15,,,,,,,
2017-06-16,,,,,,,
2017-06-17,,,,,,,
2017-06-18,,2,,,,3,
2017-06-19,,2,,,,3,
2017-06-20,,1,,,,2,
2017-06-21,,1,,,,2,
2017-06-22,,1,,,,2,
2017-06-23,,12,,,,6,
2017-06-24,,5,,,,8,
2017-06-25,,4,,,,6,
2017-06-26,,2,,,,3,
2017-06-27,,8,,,,8,
2017-06-28,,14,,,,7,
2017-06-29,,2,,,,3,
2017-06-30,,3,,,,4,
2017-07-01,,3,,,,2,
2017-07-02,,2,,,,3,
2017-07-03,,1,,,,2,
2017-07-04,,2,,,,3,
2017-07-05,,,,,,,
2017-07-06,,,,,,,
2017-07-07,,9,,,,9,
2017-07-08,,3,,,,5,
2017-07-09,,,,,,,
2017-07-10,,,,,,,
2017-07-11,,2,,,,4,
2017-07-12,,3,,,,2,
2017-07-13,,1,,,,2,
2017-07-14,,2,,,,4,
2017-07-15,,,,,,,
2017-07-16,,,,,,,
2017-07-17,,4,,,,3,
2017-07-18,,4,,,,5,
2017-07-19,,1,,,,2,
2017-07-20,,1,,,,2,
2017-07-21,,1,,,,2,
2017-07-22,,1,,,,2,
2017-07-23,,2,,,,4,
2017-07-24,,,,,,,
2017-07-25,,,,,,,
2017-07-26,,,,,,,
2017-07-27,,,,,,,
2017-07-28,,,,,,,
2017-07-29,,3,,,,5,
2017-07-30,,2,,,,4,
2017-07-31,,1,,,,2,
2017-08-01,,9,,,,9,
2017-08-02,,2,,,,3,
2017-08-03,,1,,,,2,
2017-08-04,,4,,,,6,
2017-08-05,,1,,,,2,
2017-08-06,,4,,,,5,
2017-08-07,,3,,,,5,
2017-08-08,,8,,,,9,
2017-08-09,,2,,,,2,
2017-08-10,,3,,,,6,
2017-08-11,,7,,,,9,
2017-08-12,,2,,,,3,
2017-08-13,,9,,,,8,
2017-08-14,,5,,,,6,
2017-08-15,,,,,,,
2017-08-16,,,,,,,
2017-08-17,,5,,,,6,
2017-08-18,,4,,,,7,
2017-08-19,,1,,,,2,
2017-08-20,,3,,,,4,
2017-08-21,,9,,,,10,
2017-08-22,,3,,,,3,
2017-08-23,,,,,,,
2017-08-24,,,,,,,
2017-08-25,,8,,,,5,
2017-08-26,,7,,,,8,
2017-08-27,,4,,,,6,
2017-08-28,,4,,,,5,
2017-08-29,,8,,,,8,
2017-08-30,,2,,,,3,
2017-08-31,,1,,,,2,
2017-09-01,,4,,,,7,
2017-09-02,,16,,,,18,
2017-09-03,,8,,,,8,
2017-09-04,,4,,,,5,
2017-09-05,,8,,,,14,
2017-09-06,,22,,,,23,
2017-09-07,,8,,,,11,
2017-09-08,,4,,,,6,
2017-09-09,,22,,,,24,
2017-09-10,,9,,,,9,
2017-09-11,,28,,,,20,
2017-09-12,,11,,,,12,
2017-09-13,,9,,,,13,
2017-09-14,,3,,,,5,
2017-09-15,,4,,,,7,
2017-09-16,,5,,,,9,
2017-09-17,,2,,,,3,
2017-09-18,,6,,,,9,
2017-09-19,,6,,,,10,
2017-09-20,,11,,,,14,
2017-09-21,,5,,,,3,
2017-09-22,,15,,,,17,
2017-09-23,,14,,,,13,
2017-09-24,,9,,,,8,
2017-09-25,,21,,,,25,
2017-09-26,,23,,,,27,
2017-09-27,,40,,,,34,
2017-09-28,,56,,,,44,
2017-09-29,,37,,,,40,
2017-09-30,,71,,,,66,
2017-10-01,,205,,,,193,
2017-10-02,,325,,,,292,
2017-10-03,,122,,,,132,
2017-10-04,,81,,,,82,
2017-10-05,,85,,,,72,
2017-10-06,139643.26334559373,38,0.0,0.186912,22131.0,40,420.55199999999996
2017-10-07,103210.7245477692,92,0.0,0.200257,38476.0,88,410.2648389028241
2017-10-08,226556.82424799024,115,0.0,0.25372,36340.0,103,295.5838
2017-10-09,376588.18878705776,45,0.0,0.31565,16776.0,56,1578.25
2017-10-10,348350.18559316196,43,0.0,0.252402,20495.0,53,631.005
2017-10-11,86864.69846978622,58,0.0,0.19818,16009.0,59,266.51969756999995
2017-10-12,150040.47012476652,62,0.0,0.202347,30128.999999999996,68,585.9564426000001
2017-10-13,257844.65986431998,40,0.0,0.214954,34592.0,47,591.1235
2017-10-14,156382.42463072896,65,0.0,0.187942,14610.0,70,498.422184
2017-10-15,120817.61935535302,39,0.0,0.220156,6825.0,47,550.39
2017-10-16,157961.82340766233,33,0.0,0.187672,39622.0,37,511.256625416
2017-10-17,136719.37916135538,38,0.0,0.181137,17036.0,33,307.93289999999996
2017-10-18,75153.55020649354,36,0.0,0.186608,26564.000000000004,40,924.6168734211469
2017-10-19,76676.01638488601,47,0.0,0.172494,24265.000000000004,49,662.031972
2017-10-20,90614.70811361115,30,0.0,0.169852,5704.0,34,515.2601113541131
2017-10-21,73309.50270132943,34,0.0,0.169492,22640.0,32,445.7639811949746
2017-10-22,196744.68606411535,38,0.0,0.164421,9852.0,39,974.4236278740001
2017-10-23,138843.46553260175,42,0.0,0.161659,35983.0,37,359.691275
2017-10-24,98426.46373862092,38,0.0,0.134892,48705.0,36,694.6938
2017-10-25,31439.923365370596,27,0.0,0.14282,1482.0,31,71.41
2017-10-26,76984.0024601615,23,0.0,0.14689,42943.0,24,1026.02665
2017-10-27,73216.60397595573,30,0.0,0.165609,21020.0,30,594.867528
2017-10-28,8725.104144510427,29,0.0,0.13656,3590.0,31,68.27999999999999
2017-10-29,50768.82997796005,26,0.0,0.159122,5246.0,33,469.749630670107
2017-10-30,61799.22413906001,25,0.0,0.163747,7203.0,23,327.494
2017-10-31,83123.9239750763,36,0.0,0.144205,46345.0,37,789.071734375
2017-11-01,135554.84215743621,35,0.0,0.146731,58795.0,34,1467.31
2017-11-02,39250.9310467599,25,0.0,0.142061,20687.0,26,562.3950929202
2017-11-03,166330.49990043102,28,0.0,0.135774,19424.0,30,638.9374991019226
2017-11-04,39416.442977432635,26,0.0,0.143249,15995.0,26,847.0351150620183
2017-11-05,7964.321097399659,13,0.0,0.145499,6183.0,14,318.49731099999997
2017-11-06,89321.49389749447,28,0.0,0.153184,18772.0,29,753.627979696
2017-11-07,72752.16025135046,31,0.0,0.095705,21794.0,32,492.4833350037698
2017-11-08,130468.56571958898,34,0.0,0.12275,13642.0,34,557.9141223354062
2017-11-09,186951.6965016324,51,0.0,0.120051,21441.0,56,600.255
2017-11-10,161012.9779429085,25,0.0,0.156775,33552.0,25,5713.79109298475
2017-11-11,368880.7861374352,14,0.0,0.142234,2136.0,16,7544.566919212586
2017-11-12,56453.16911504845,19,0.0,0.132139,12190.0,21,1228.9363959399066
2017-11-13,144431.24096205214,23,0.0,0.143723,21381.0,23,715.596817
2017-11-14,138935.7869398314,42,0.0,0.141815,34067.0,38,586.7595489977939
2017-11-15,54154.75657986179,41,25297615.47142513,0.139026,12695.0,39,194.63634438960003
2017-11-16,108868.08702361048,37,21866335.506663088,0.120169,81554.0,34,549.773175
2017-11-17,116538.42222222358,35,25761984.84710282,0.141578,47733.0,34,707.8900000000001
2017-11-18,941425.1877736801,32,25069614.9194069,0.137773,21093.0,31,950.4626548205
2017-11-19,56255.062720538765,26,26034930.24717826,0.143078,15466.0,27,532.890259342462
2017-11-20,64711.4391512551,30,27860202.915216185,0.153109,73699.0,34,524.6279885
2017-11-21,23485.327646578684,26,28808049.128835093,0.158318,7051.0,24,158.31799999999998
2017-11-22,203287.08252473647,57,30196974.55940919,0.165951,31200.0,50,414.87749999999994
2017-11-23,305843.1125453914,123,34154491.877413996,0.1877,199411.0,88,938.5
2017-11-24,102956.40065069357,62,42282060.214715876,0.232366,46103.0,63,539.5658333800078
2017-11-25,815401.7601604731,57,40783229.40212268,0.224129,51677.0,51,1120.645
2017-11-26,195290.45921186783,62,43926279.04683753,0.241402,42443.0,51,1013.8852895122969
2017-11-27,190461.79849999785,40,41345313.20096444,0.227218,55006.0,44,378.090752
2017-11-28,62391.998506292686,45,41827880.11130883,0.22987,28080.0,46,459.74
2017-11-29,61323.04234636256,55,44108423.98464454,0.242403,12541.0,50,315.1239
2017-11-30,388623.84586563363,43,40362166.51124931,0.221815,142725.0,44,898.3507500000001
2017-12-01,127153.92111919184,69,45211303.06160986,0.248464,68615.0,57,970.2519199999999
2017-12-02,817444.0743144653,80,54578586.64087589,0.299943,74698.0,80,2011.9952407969176
2017-12-03,86436.08292433425,51,56069046.7704146,0.308134,63048.00000000001,41,502.25842000000006
2017-12-04,193324.39287954525,64,58508991.981903546,0.321543,59232.0,61,1471.9932998072927
2017-12-05,281573.69651531003,58,65261463.91791703,0.358652,56484.0,53,988.11674542
2017-12-06,429462.72297313996,118,73955847.0449835,0.406433,236955.99999999997,104,1013.8471185
2017-12-07,3223557.536731402,102,128220789.98495024,0.700801,502319.0,83,2452.4530995
2017-12-08,1120492.2346717066,103,102436518.743716,0.559875,360288.0,101,811.81875
2017-12-09,1919061.5515584154,79,98808724.55600162,0.540047,187639.0,81,2430.2115000000003
2017-12-10,549299.2742907831,93,89338915.16197182,0.488289,86143.0,80,1319.845167
2017-12-11,415852.7949548679,84,80122327.4211035,0.437915,220240.0,80,602.133125
2017-12-12,370699.7752103361,120,85581949.272353,0.467755,97331.0,125,1286.3262349640154
2017-12-13,1497712.3666650217,90,107753795.23575912,0.588937,89749.0,101,1101.31219
2017-12-14,305416.2609554105,83,117335211.78398857,0.641305,246756.0,72,1795.654
2017-12-15,634228.7863452367,122,121006916.97496971,0.661373,289483.0,115,1322.7459999999999
2017-12-16,306571032.82573724,92,114588019.4318332,0.62629,376054.0,87,1038.1476077195741
2017-12-17,530005.6990687107,135,109593673.11408654,0.598993,351306.99999999994,117,1317.7846
2017-12-18,743266.8781224444,89,111531253.3586098,0.609583,687354.0,86,2267.64876
2017-12-19,726433.2543639396,147,114164514.0143238,0.62192,725816.9999999999,132,1035.68524176
2017-12-20,4507588.028897174,189,192111354.20773026,1.05,925381.0,174,3150.0
2017-12-21,5462206.38716592,171,146402025.89114267,0.800172,220804.99999999997,173,830.578536
2017-12-22,1129168.0786373494,131,132475782.6988722,0.724057,583378.0,127,905.07125
2017-12-23,331481979.143805,225,102837208.24011865,0.562065,839943.0,205,1011.7170000000001
2017-12-24,1791905.8160599843,255,96336525.46438773,0.526535,811846.0,211,1211.0304999999998
2017-12-25,738356.0520296536,195,85393314.6351088,0.466724,637287.0,167,1166.8100000000002
2017-12-26,830309.3988990999,232,97866281.10474129,0.534896,671928.0,208,1259.0397568435358
2017-12-27,962604.8420640083,198,130950784.40530413,0.715722,444550.0,196,1088.86724331
2017-12-28,945414.914211899,135,129694192.61473317,0.708854,359094.0,125,1515.3064325608639
2017-12-29,455115.65437248914,92,110577832.24228567,0.604372,337827.99999999994,98,1016.251518
2017-12-30,38443586.752019696,279,127277431.46991163,0.695645,462467.0,237,6629.4968499999995
2017-12-31,12772500.511595966,213,120569452.04361106,0.658982,554462.0,202,3863.281975
2018-01-01,5679039.001107148,445,128924919.53194888,0.705983,2409160.0,379,1356.899326
2018-01-02,13314302.696468523,858,250633682.5082645,1.37,5207890.0,724,1455.413846421
2018-01-03,10027676.610999757,288,443510295.68421054,2.42,2351030.0,291,3680.8199999999997
2018-01-04,21664158.12424687,237,383937287.0,2.1,2443920.0000000005,237,2410.0501131
2018-01-05,35601279.206371,291,389389670.28853756,2.13,4205640.0,322,2153.43
2018-01-06,20610090.860307366,351,458550708.8135593,2.51,3014060.0,341,3764.9999871738996
2018-01-07,50009211.946104445,327,430453666.55,2.35,2609570.0,329,1175.0
2018-01-08,8606919.183206318,259,535127598.5241379,2.92,2470460.0,270,2199.928
2018-01-09,31803123.57080492,247,528268741.1565836,2.89,2547570.0,264,5785.780000000001
2018-01-10,18012342.89239859,351,510923609.155102,2.79,2766430.0,372,7175.88
2018-01-11,2417961.150641427,174,455016917.42738587,2.49,1791770.0,204,1269.9
2018-01-12,3826293.4405483664,199,444244529.68924314,2.43,1629480.0,224,1579.5
2018-01-13,5275884.805124874,221,459936681.874074,2.51,2718050.0,240,2012.6686
2018-01-14,4636084.698321057,224,496605349.651341,2.71,1931399.9999999998,255,1942.5486068399998
2018-01-15,1971978.5653459597,163,486781158.1592921,2.66,1964590.0,188,2120.8970818000003
2018-01-16,2476703.897837752,187,535854195.93750006,2.2,1596940.0,217,1446.7640000000001
2018-01-17,1712755.508043122,222,466838521.8030303,1.91,1240490.0,231,946.721054385
2018-01-18,7078558.734654184,208,482926606.26395935,1.98,1256730.0,215,1150.78563567
2018-01-19,5459957.107206169,307,474215420.0537634,1.94,1149220.0,297,1097.12868694
2018-01-20,1277885.7015043027,176,454992445.718593,1.86,799479.0,168,931.86
2018-01-21,1056656.10969904,154,489281394.7916667,2.0,1000580.0,156,802.0
2018-01-22,962366.1620287257,171,472436542.65921783,1.94,683656.0,181,1107.934
2018-01-23,1294778.497804035,163,432180594.93529415,1.77,807366.0,161,906.24
2018-01-24,294339849.52019924,188,413840166.9945355,1.7,1559140.0,171,1910.4537814
2018-01-25,964488.1804545384,131,640622520.8089887,1.86,1024320.0,124,1229.46
2018-01-26,51154484.27696088,161,613497730.6775956,1.78,1015659.9999999999,172,1343.920648
2018-01-27,3534471.862879227,153,628125975.3181819,1.83,720460.0,155,454.92505641
2018-01-28,5032158.052214918,260,680003010.9873418,1.98,1646840.0,269,1035.2925
2018-01-29,2587794.1319738687,268,819933825.9825327,2.38,1836730.0,268,1419.6699999999998
2018-01-30,1769132.8747169639,205,791532393.6410255,2.3,1629830.0,188,1494.9999999999998
2018-01-31,1097870.818622046,138,672934063.586207,1.96,1423700.0,151,605.27147149
2018-02-01,1108590.0739685877,147,697785465.1764705,2.03,973099.0,148,1059.0936299999998
2018-02-02,2205029.3414364774,130,639017964.226415,1.86,917640.0,139,1055.96826843
2018-02-03,645649.8667380183,134,547835254.3255814,1.59,701289.0,141,569.348205675
2018-02-04,1505524.5499404492,104,591934445.3333333,1.72,663940.0,108,813.29367262
2018-02-05,1133207.6251099748,141,509125067.67857134,1.48,764470.0,138,1182.52
2018-02-06,2282355.529628048,163,386431275.80141854,1.12,1148330.0,165,751.3912
2018-02-07,1245568.769091178,127,482435095.3333333,1.4,744113.0000000001,133,573.0566141999999
2018-02-08,545199.3400999024,88,419450729.9416058,1.22,479390.0,106,619.618785
2018-02-09,315693.2442291144,128,474183226.91999996,1.38,710388.0,123,541.2585354
2018-02-10,809579.30168478,142,517141456.1224489,1.5,562500.0,152,877.2750000000001
2018-02-11,466345.49934093445,99,505517582.4755245,1.47,516198.0,110,808.5
2018-02-12,9558259.241579063,156,494266464.0,1.44,1196790.0,181,1038.96
2018-02-13,26250307.500364065,140,620115650.0,1.73,762763.0,152,959.6890415173001
2018-02-14,44300419.863819,182,614022202.8154507,1.71,1635590.0,181,863.567955
2018-02-15,1561518.8251129114,145,839843070.241206,2.34,1390900.0000000002,161,1217.7359999999999
2018-02-16,2814795.068395295,134,720656573.7876107,2.01,745385.0,126,1674.33
2018-02-17,897240.3021910588,130,809401858.6929824,2.26,1098650.0,130,983.7029799215
2018-02-18,549223.4391395818,80,814490605.3632288,2.27,914941.0,96,896.65
2018-02-19,571968.6364719061,107,796315737.7563026,2.22,842577.0,122,769.78722
2018-02-20,1628170.5401342248,167,855089632.4913793,2.38,1265460.0,191,1184.05
2018-02-21,408295.933281876,124,826466229.8113207,2.3,785625.9999999999,152,1054.55
2018-02-22,1158568.6442618489,120,759810157.6649747,2.12,994730.0,122,1032.349529
2018-02-23,1251801.3268487449,84,706871577.1631579,1.97,666451.0,102,820.17180405
2018-02-24,521406.86301025597,73,683757435.0,1.9,597030.0,89,755.61214
2018-02-25,3418819.0961361206,122,681245959.144385,1.9,307627.0,134,2090.0
2018-02-26,432712.3763113056,70,669033161.3529412,1.86,513973.99999999994,87,1019.2800000000001
2018-02-27,1216820.3591815103,114,736595388.1693988,2.05,698792.0,112,1659.9875
2018-02-28,1611591.832319811,109,656819954.7241379,1.83,905598.0,123,3478.5685698600005
2018-03-01,585096.1717317408,109,626473976.6931818,1.74,883064.0,108,1591.6876200000002
2018-03-02,397617.73737869924,98,631082185.5280899,1.76,859359.0,88,1240.650312
2018-03-03,599221.4609496277,61,641446183.75419,1.78,771788.0,81,1246.0
2018-03-04,2777319.49940739,89,645749260.2197802,1.8,860770.0,94,1407.533419674
2018-03-05,1018560.375874132,127,653080570.6198831,1.82,1461500.0,136,1373.48274518
2018-03-06,4241754.387953458,99,614563299.8333334,1.71,1070350.0,113,1043.7600702599998
2018-03-07,699667.3336771602,100,577998887.4090909,1.61,864987.0,120,1609.11077285
2018-03-08,1022716.5419207353,136,554726269.2631578,1.54,783809.0,128,1472.451904
2018-03-09,2279097.0480684303,134,478532698.5,1.33,791133.0,127,1232.8435000000002
2018-03-10,863480.9966588344,81,554006869.9407407,1.54,834448.0,81,770.0000964656
2018-03-11,400725.6408941355,89,484241736.8835617,1.35,704859.0,95,949.0683290310001
2018-03-12,354150.199926254,76,521286059.5454545,1.45,623472.0,86,581.42245
2018-03-13,458867.19535538,97,472338529.11940295,1.31,614413.0,102,914.38
2018-03-14,1025648.0170463135,140,481631407.8524591,1.34,666784.0,140,670.0
2018-03-15,657848.58327826,113,433213203.45217395,1.21,892659.0,116,1140.66141343
2018-03-16,409286.80540237646,96,413425057.0,1.15,561047.0,105,1148.85
2018-03-17,1994884.7582287584,87,413887197.2815533,1.15,488605.0,110,572.125
2018-03-18,2526569.923230565,156,371371065.67307687,1.03,681938.0,156,1028.97
2018-03-19,360010.61488059204,98,373124042.1284404,1.04,643322.0,109,1040.0
2018-03-20,284864.63115935,109,394566149.03508776,1.1,641695.0,110,596.70072
2018-03-21,921181.1693270842,84,409060415.2066116,1.14,546389.0,82,583.3665
2018-03-22,367191.49763025506,68,434938488.754386,1.21,466218.99999999994,81,605.2553342
2018-03-23,470919.0722424348,61,409245692.9999999,1.14,539824.0,73,1499.1
2018-03-24,362792.01648744894,72,405974983.9732142,1.13,429531.0,82,940.01247398
2018-03-25,105743.140948995,32,394150377.73109245,1.1,395674.0,46,211.53000000000003
2018-03-26,56467304.02485271,81,419338979.8448276,1.17,652340.0,90,1645.02
2018-03-27,436753.9432302876,111,417083718.69158876,1.16,385060.0,114,1310.8
2018-03-28,363864.4970703488,56,384272525.9814815,1.07,330642.0,73,859.0495000000001
2018-03-29,199485.35882681044,74,388349294.81159496,1.08,496590.0,89,718.4398135680001
2018-03-30,252867.27453074345,61,354809579.8344184,0.986726,470690.0,69,395.6771259901327
