date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),realizedCap(USD),generatedCoins,fees,activeAddresses,averageDifficulty,paymentCount,medianTxValue(USD),medianFee,blockSize,blockCount
2014-10-09,,,0,,,,0.0,125800000.0,0.0,18,6.22295523108108,0,,,168899,629
2014-10-10,,,1036,,,,0.0,282800000.0,115.0,1121,117.63726413116,3139,,0.1,885731,1414
2014-10-11,,,2206,,,,0.0,279800000.0,242.130623,2340,70.3686732343459,4906,,0.1,1259153,1399
2014-10-12,,,1704,,,,0.0,282200000.0,189.228694,1817,74.7589184166124,3745,,0.1,1109243,1411
2014-10-13,,,2203,,,,0.0,272400000.0,236.422078,2335,69.1296631403084,5281,,0.1,1249256,1362
2014-10-14,,,2313,,,,0.0,285800000.0,242.206172,2439,53.735941406802,5431,,0.1,1231757,1429
2014-10-15,,,2826,,,,0.0,279800000.0,312.449054,2968,55.3880753870407,5478,,0.1,1510221,1399
2014-10-16,,,2856,,,,0.0,282600000.0,298.76162700000003,3004,38.8537762828308,5440,,0.1,1376114,1413
2014-10-17,,,3077,,,,0.0,284800000.0,318.510333,3209,45.0588084627317,4558,,0.1,1367866,1424
2014-10-18,,,2381,,,,0.0,277200000.0,248.660947,2486,38.310424620873,4070,,0.1,1204366,1386
2014-10-19,,,2900,,,,0.0,213400000.0,294.462238,3037,23.7442743617572,4275,,0.1,1276988,1400
2014-10-20,,,2373,,,,0.0,132900000.0,250.960834,2511,24.3161455023326,3794,,0.1,1212502,1329
2014-10-21,,,1068,,,,0.0,128900000.0,122.237274,1249,30.325868082498,2044,,0.1,905563,1289
2014-10-22,,,1024,,,,0.0,94200000.0,245.913407,1245,118.942737385998,2252,,0.1,1939259,942
2014-10-23,,,1006,,,,0.0,96700000.0,121.521524,1120,128.328363087694,2542,,0.1,826541,967
2014-10-24,,,1224,,,,0.0,109400000.0,157.6187,1329,73.6273803289397,2754,,0.1,1052635,1094
2014-10-25,2085.4607891682876,1938.0427582705418,737,24391.0,7e-06,707.0,0.0,73000000.0,99.338301,839,108.158714165041,1181,0.6999993000000001,0.1,706691,730
2014-10-26,1765.423531894554,1688.969364560366,599,25962.363636363636,7e-06,2234.0,0.0,70900000.0,72.673717,723,125.25415582708,1165,0.6999993000000001,0.1,535907,709
2014-10-27,5742.123564447028,5118.132953917775,607,41428.2,1.1e-05,2857.0,0.0,76099999.99999999,92.68777001000001,754,153.249372415611,1016,1.0999989000000001,0.1,730094,761
2014-10-28,3962.6081869952304,3008.48613034,1179,38912.5,1e-05,2185.0,0.0,75100000.0,121.731987,1245,129.263816667949,1038,0.8293358327800001,0.1,584196,751
2014-10-29,1294.733841443376,1151.126927234396,1154,14991.42857142857,4e-06,1221.0,0.0,76100000.0,123.411069,1261,117.852871029908,1023,0.32083298325,0.1,617625,761
